query,title,year,venue,authors,cited_by_count,concepts,source
ukf ekf localization mobile robot,Wireless Communication-Based Indoor Localization with Optical Initialization and Sensor Fusion,2026,Sensors,Marcin Leplawy; Piotr Lipiński; Barbara Morawska; Ewa Korzeniewska,0,Initialization; Computer science; Wireless; Sensor fusion; Scalability; Factor graph,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Analysis of Modern Approaches to Autonomous UAV Navigation,2026,Electronics and Control Systems,Mykyta Soloviov; Mykola Komar,0,Flexibility (engineering); Computer science; Sensor fusion; Navigation system; Task (project management); Trajectory,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,"Comprehensive Review of Doppler Shift Localization Methods: Advances, Limitations, and Research Opportunities",2026,ArXiv.org,Rafal Szczepanik,0,Computer science; Geolocation; Doppler effect; Key (lock); Satellite; Asynchronous communication,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Natural Gradient Gaussian Approximation Filter on Lie Groups for Robot State Estimation,2026,arXiv (Cornell University),Tianyi Zhang; Wenhan Cao; Chang Liu; Yao Lyu; Shengbo Eben Li,0,Mathematics; Lie group; Tangent; Linearization; Mathematical optimization; Algorithm,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Sensor Data Adaptive Treatment in Time-Varying UAV Medium: Approaches and Methods,2026,Engineering Technology & Applied Science Research,Dmytro Borovyk; Mykola Zaretskyi,0,Computer science; Field (mathematics); Sensor fusion; Gaussian process; Statistical model; Range (aeronautics),OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,MIMO OFDM-Enabled ISAC for Low-Altitude Non-Cooperative UAV Surveillance: A Survey,2026,arXiv (Cornell University),Shiyu Bai; Sijia Li; Cunyi Yin; Wenqiu Qu; Li‐Ta Hsu; Yuanwei Liu,0,MIMO; Software deployment; Computer science; Key (lock); Systems engineering; Identification (biology),OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,An Asynchronous Two-Speed Kalman Filter for Real-Time UUV Cooperative Navigation Under Acoustic Delays,2026,arXiv (Cornell University),Shuyue Li; Miguel López-Benítez; Eng Gee Lim; Fei Ma; Qian Dong; Mengze Cao,0,Computer science; Kalman filter; Control theory (sociology); Asynchronous communication; Extended Kalman filter; Control engineering,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Safety Control with Adaptive Safety Sets and Belief Dynamics for LAV Under Uncertainty,2026,Drones,Meijiao Zhao; Yidi Wang; Wei Zheng,0,Probabilistic logic; Computer science; Mathematical optimization; Collision avoidance; Monte Carlo method; Trajectory,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Distance Constraint Ensemble Kalman Filter for Pedestrian Localization,2026,Micromachines,Lei Deng; Jinghua Yu; Manman Li; Qingao Zhao; Yuan Xu,0,Kalman filter; Measure (data warehouse); Sensor fusion; Computer science; Inertial measurement unit; Constraint (computer-aided design),OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Sensors in Self-Driving Vehicles: A Detailed Literature Review and New Trends,2026,Sensors,Patrik Viktor; Gabor Kiss,0,Computer science; Lidar; Systems engineering; Radar; Robustness (evolution); Sensor fusion,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Robot localization: a comprehensive survey from classical methods to intelligent autonomy,2026,International Journal of Intelligent Robotics and Applications,Mohammad Alipourvarmazabadi; Marc Ebner,0,Computer science; Robot; Focus (optics); Probabilistic logic; Semantic mapping; Artificial intelligence,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Meta-Adaptive Beam Search Planning for Transformer-Based Reinforcement Learning Control of UAVs with Overhead Manipulators under Flight Disturbances,2026,ArXiv.org,Hazim Alzorgan; Sayed Pedram Haeri Boroujeni; Abolfazl Razi,0,Control theory (sociology); Reinforcement learning; Drone; Computer science; Performance metric; Overhead (engineering),OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Constrained 1D Localization for Downlink TDoA-Based UWB RTLS,2026,,Václav Navrátil; Josef Krška,0,Real-time locating system; Position (finance); Kalman filter; Constraint (computer-aided design); Computer science; Real-time computing,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Based on Non-Inertial Frame Modeling for High-Dynamic Companion Flight Control Research,2026,Journal of Computing and Electronic Information Management,Aijun Xu; Jiang Lu,0,Control theory (sociology); Kinematics; Kalman filter; Acceleration; Computer science; Gain scheduling,OpenAlex (latest topic aligned)
ukf ekf localization mobile robot,Robust Indoor Localization for Autonomous Mobile Robots: A Review of Bayesian Sensor Fusion and SLAM Algorithms,2026,Applied and Computational Engineering,Yilin Sun,0,Computer science; Simultaneous localization and mapping; Mobile robot; Artificial intelligence; Smoothing; Sensor fusion,OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Segment-Safe Control Barrier Functions for Model Predictive Control,2026,SPIRE - Sciences Po Institutional REpository,Andrea Pagnini; Ezio Malis,0,Model predictive control; Computer science; Control theory (sociology); Control (management); Stability (learning theory); Control system,OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Contact-Robust Trajectory Planning via Parametric Sensitivity Analysis for Hybrid Robotic Systems,2026,SPIRE - Sciences Po Institutional REpository,Tommaso Belvedere; James Zhu; Marco Cognetti; Paolo Robuffo Giordano,0,Sensitivity (control systems); Trajectory; Computer science; Control theory (sociology); Parametric statistics; Control engineering,OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Model-free sliding mode control for PMSM based on adaptive super-twisting reaching law,2026,Scientific Reports,Wenhua Yao; Weiwei Li,0,Control theory (sociology); Robustness (evolution); Terminal sliding mode; Nonlinear system; Sliding mode control; Computer science,OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Image-Based Visual Servoing of Quadrotor MAVs Using Model Predictive Control with Velocity Observation and State Update,2026,Symmetry,J C Liu; Chunbo Xiu; Yanxin Yuan; Yue Zhou; Baoquan Li,0,Visual servoing; Control theory (sociology); Observer (physics); Model predictive control; Computer science; Controller (irrigation),OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Adaptive Exploration Proximal Policy Optimization for Efficient Robotic Continuous Control,2026,Symmetry,Jiajian Li; Mingrui Li; Hanshen Li,0,Computer science; Reinforcement learning; Convergence (economics); Stability (learning theory); Clipping (morphology); Entropy (arrow of time),OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,A DUNG BEETLE OPTIMIZED MPC ALGORITHM FOR MULTI-OBJECTIVE OPTIMIZATION OF UNMANNED AGRICULTURAL VEHICLE,2026,INMATEH Agricultural Engineering,Zhenning CHEN; Youtong Zhang; Wenqiang ZHAO; Haishi Dou; Hongqian WEI,0,Trajectory; Model predictive control; Kinematics; Dung beetle; Heuristic; Computer science,OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,PREVENT-JACK: Context Steering for Swarms of Long Heavy Articulated Vehicles,2026,arXiv (Cornell University),Adrian Baruck; Michaël Dubé; Christoph Steup; Sanaz Mostaghim,0,Swarm behaviour; Context (archaeology); Swarm robotics; Robot; Representation (politics); Computer science,OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,$H_2/H_{\infty}$ Control for Stochastic Differential Systems with Partial Observation,2026,arXiv (Cornell University),Changwang Xiao; Nan Yang; Qingxin Meng,0,Robustness (evolution); Control theory (sociology); Mathematics; Bounded function; Differential game; Lemma (botany),OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Research on Proximal Policy Optimization Algorithm in Path Planning for UAV-Based Vehicle Tracking,2026,Drones,Dongna Qiao; Hailong Zhang,0,Motion planning; Trajectory; Reinforcement learning; Computer science; Tracking error; Path (computing),OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,"A Provably Stable Geometric Bayesian Self-Healing Framework for Deep-Space Cyber-Physical Systems: SO(3) Attitude Dynamics, Multi-Physics Energy--Thermal Coupling, and Lessons from the 2025 Lunar Trailblazer Catastrophe",2026,,Sami Shibah,0,Sobol sequence; Markov chain Monte Carlo; Computer science; Monte Carlo method; Scalability; Bayesian probability,OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Stability and Optimization of a Vector Thrust-Controlled Tail-Sitter UAV Based on Flight Test,2026,Drones,Ruishuo Li; Xiaowen Shan; H Wang,0,Thrust; Control theory (sociology); Flight test; Cruise; Nonlinear system; Stability (learning theory),OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,A Systematic Review and Taxonomy of Reinforcement Learning-Model Predictive Control Integration for Linear Systems,2026,arXiv (Cornell University),Mohsen Jalaeian Farimani; Roya Khalili Amirabadi; Davoud Nikkhouy; Malihe Abdolbaghi; Mahshad Rastegarmoghaddam; Shima Samadzadeh,0,Model predictive control; Computer science; Reinforcement learning; Taxonomy (biology); Stability (learning theory); Adaptation (eye),OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Co-State Based Data Fusion and Risk Aware Filtering for Spacecraft Navigation and Hazard Prediction,2026,ArXiv.org,Surya Ratna Prakash D; Soumyendu Raha,0,Probabilistic logic; Computer science; Markov chain; Kalman filter; Extended Kalman filter; Filter (signal processing),OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Impact-Aware Model Predictive Control for UAV Landing on a Heaving Platform,2026,arXiv (Cornell University),Jess Stephenson; Melissa Greeff,0,Model predictive control; Control theory (sociology); Computer science; Testbed; Engineering; Linear complementarity problem,OpenAlex (latest topic aligned)
nonlinear mpc uav trajectory tracking,Deep Reinforcement Learning-Guided Bio-Inspired Active Flow Control of a Flapping-Wing Drone for Real-Time Disturbance Suppression,2026,Actuators,Saddam Hussain; Mohammed Messaoudi; Nouman Abbasi; Dajun Xu,0,Aerodynamics; Control theory (sociology); Controller (irrigation); Actuator; Reinforcement learning; Computer science,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Metaheuristic-Based Observer Design for Electromagnetic and Load Torque Estimation in PMSMs: A Comprehensive Review,2026,Al-Furat Journal of Innovations in Electronics and Computer Engineering,Qusay Kadhim; Murtadha   H.Atiyah; Ali  Abdullah Al-bakri,0,Control theory (sociology); Torque; Observer (physics); Computer science; Control engineering; Engineering,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Sensorless Speed Control of PMSM in the Low-Speed Region Using a Runge–Kutta Model-Based Nonlinear Gradient Observer,2026,Machines,Adile Akpunar Bozkurt,0,Control theory (sociology); Stator; Extended Kalman filter; Computer science; Robustness (evolution); Nonlinear system,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Robust Adaptive Sensorless Control for PMLSM Based on Improved Sliding Mode Observer and Extended State Observer,2026,Electronics,Yaning Shi; Rong Guo; Sijie Li; Xiaoyu Zhang; Yang Song,0,Control theory (sociology); Computer science; State observer; Observer (physics); Ripple; Robust control,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Robust control strategy for optimized IM-4S-VSI-based wind turbine simulator: Assessment for theoretical study,2026,International Journal of Renewable Energy Development,Mouna Zerzeri; Intissar Moussa; Adel Khedher,0,Control theory (sociology); Turbine; Wind speed; Torque; Stator; Rotor (electric),OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Online Identification of PMSM Q-Axis Apparent Inductance Using a PWM-Based Estimator,2026,,Saleh B. Shlimet; Aboajela Lahrash; Hassan Algammodi; Farag A Farag,0,Control theory (sociology); Stator; Robustness (evolution); Estimator; Parametric statistics; Inductance,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Application of advanced fault-tolerant control techniques in the design of modern electric vehicles for increased reliability: a review,2026,Automatika,Arslan Ahmed Amin; Muhammad Irfan; Saba Waseem; Ansa Mubarak; Hatim Alwadie; Saleh Al Dawsari,0,Dependability; Context (archaeology); Control (management); Systems engineering; Reliability engineering; Computer science,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,High-Performance Sensorless Control of a Dual-Inverter Doubly Fed Induction Motor for Electric Vehicle Traction Using a Sliding-Mode Observer,2026,Automation,Mouna Zerzeri; Adel Khedher,0,Control theory (sociology); Stator; Computer science; Torque; Observer (physics); Induction motor,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Research on the Control Algorithm for a Brushless DC Motor Based on an Adaptive Extended Kalman Filter,2026,Sensors,Tong Jinwu; Zha Lifan; Lu Xinyun; Li Peng; Sun Jin; Liu Shujun,0,Control theory (sociology); Computer science; Kalman filter; DC motor; Rotor (electric); Extended Kalman filter,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Application of the model reference adaptive system method in sensorless control for elevator drive systems using 3-Phase permanent magnet synchronous motors,2026,International Journal of Power Electronics and Drive Systems/International Journal of Electrical and Computer Engineering,Tran Van Khoi; An Thi Hoai Thu Anh; Tran Trong Hieu,0,Control theory (sociology); Elevator; Computer science; Rotor (electric); Torque; Process (computing),OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Chattering Suppression in Sensorless Control of Five-Phase Induction Motors Using an Improved Reaching Law,2026,Electronics,Jinxin Tian; Jinghong Zhao; Sinian Yan; Yuanzheng Ma; Yunchen Duan,0,Control theory (sociology); Observer (physics); Law; Stator; Convergence (economics); Induction motor,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,A Sensorless Control of PMSM Using Hybrid Fuzzy-Logic Adaptive Sliding Mode Approach,2026,IEICE Transactions on Electronics,Yang YU; Zhixin Liu; Xin Wang,0,Control theory (sociology); Observer (physics); Computer science; Rotor (electric); Integrator; Fuzzy logic,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Speed‐Sensorless Model‐Free Predictive Torque Control for Induction Motor Drive,2026,IET Electric Power Applications,Md. Belal Hossen; Md. Habibullah,0,Control theory (sociology); Stator; Induction motor; Extended Kalman filter; Direct torque control; Total harmonic distortion,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Sistem Kendali Kecepatan Motor Arus Searah tanpa Sensor Kecepatan dengan Observer Metode R,2025,JTERA (Jurnal Teknologi Rekayasa),Bernadeta Wuri Harini; Vincentius Hosea Pniel Muda; Stefanus Derryan Vicky Afrizal; Marcellius Irwandi,0,Electronic speed control; Control theory (sociology); DC motor; Observer (physics); Settling time; Voltage,OpenAlex (latest topic aligned)
sensorless motor drive mras smo ekf,Design of a Speed Sensorless Control System on a DC Motor using a PID Controller,2025,International Journal of Applied Sciences and Smart Technologies,Bernadeta Wuri Harini; Theodore Galeno Gunadi; Shakuntala Gema Mahardika; Sirilus Praditya Pangestu; Regina Chelinia Erianda Putri; Stefan Mardikus,0,Control theory (sociology); PID controller; DC motor; Setpoint; Electronic speed control; Settling time,OpenAlex (latest topic aligned)
