title,year,doi,source_list,status,file_path,note,cluster
Fuzzy logic based collision avoidance for a mobile robot,1994,https://doi.org/10.1017/s0263574700016866,openalex_seed_matches,failed,,exhausted_or_nonpdf,related
Elimination of position sensors in switched reluctance motor drives: state of the art and future trends,2002,https://doi.org/10.1109/41.982246,openalex_seed_matches,failed,,exhausted_or_nonpdf,related
A new collaborative-shared control strategy for continuous elder/robot assisted navigation,2008,https://doi.org/10.4017/gt.2008.07.02.166.00,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2008_a-new-collaborative-shared-control-strategy-for-continuous-elder-robot-assisted-navigation.pdf,ok:https://upcommons.upc.edu/bitstreams/e0ade34c-fd3b-4713-bb8e-d3505434f407/download,related
Hospital admissions via the emergency department: implications for planning and patient flow.,2008,https://doi.org/10.12927/hcq.2013.19492,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Advanced monitoring of machining operations,2010,https://doi.org/10.1016/j.cirp.2010.05.010,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2010_advanced-monitoring-of-machining-operations.pdf,existing_pdf_url:ok,related
Position and Speed Control of Brushless DC Motors Using Sensorless Techniques and Application Trends,2010,https://doi.org/10.3390/s100706901,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2010_position-and-speed-control-of-brushless-dc-motors-using-sensorless-techniques-and-application-trends.pdf,existing_pdf_url:ok,related
Study on dynamic of chemical components of Rhizoma Alismatis and Evodia rutaecarpa in their compatibility,2011,https://doi.org/10.4268/cjcmm20110212,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Mobile G2C services typology: The standardized reality in Greek Municipalities,2014,https://doi.org/10.15556/ijsim.01.03.004,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
WEB-BASED COLLABORATIVE LEARNING AND KNOWLEDGE SHARING IN INFORMAL BUSINESS NETWORKS,2014,https://doi.org/10.15556/ijiim.01.02.002,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
A Novel Control-Navigation System- Based Adaptive Optimal Controller &amp; EKF Localization of DDMR,2015,https://doi.org/10.14569/ijarai.2015.040504,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2015_a-novel-control-navigation-system-based-adaptive-optimal-controller-amp-ekf-localization-of-ddmr.pdf,ok,related
How do consumers perceive a/an logotype/emblem in the advertisements: an eye tracking study,2015,https://doi.org/10.15556/ijsim.01.04.002,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
"Internet of Things: A Survey on Enabling Technologies, Protocols, and Applications",2015,https://doi.org/10.1109/comst.2015.2444095,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Learner profiles and the process of Learning in the Higher Educational Context,2015,https://doi.org/10.15556/ijiim.02.01.003,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Mouse Tracking for Web Marketing: Enhancing User Experience in Web Application Software by Measuring Self-Efficacy and Hesitation Levels,2015,https://doi.org/10.15556/ijsim.01.04.005,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Theory of Planned Behaviour: the Intention-Behaviour Relationship and the Perceived Behavioural Control (PBC) Relationship with Intention and Behaviour,2015,https://doi.org/10.15556/ijsim.02.03.004,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Availability and Utilization of Tools and Equipment for Teaching and Learning Garment Making Trade in the Senior Secondary Schools in Edo State,2016,https://doi.org/10.20431/2349-0381.0303002,crossref_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2016_availability-and-utilization-of-tools-and-equipment-for-teaching-and-learning-garment-making-trade-in-the-senior-seconda.pdf,ok,related
Comparison of Locus of Control Behaviour Scores in Normal and Individuals with stuttering – A new way to Approach Stuttering Disorder for Speech – Language Pathologists,2016,https://doi.org/10.21276/ijchmr.2016.2.2.07,crossref_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2016_comparison-of-locus-of-control-behaviour-scores-in-normal-and-individuals-with-stuttering-a-new-way-to-approach-stutteri.pdf,ok:https://assets.teepublic.com/assets/pdfs/designing-for-dtg-061ba741bd403ab1a5d84d0ed3ce584bae150e47068f0a275f72e64e8b577189.pdf,related
Contour Based Real Time Multiple Object Tracking,2016,https://doi.org/10.18535/ijetst/v3i08.10,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Vector Control of AC Drives,2017,https://doi.org/10.1201/9780203734407,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Are the mosquito and vector control programs economic effective?,2018,https://doi.org/10.15556/ijsim.04.03.002,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Direct Torque Control of Multiphase Doubly Converter-fed Asynchronous Machines Incorporating the Harmonic Torques,2018,https://doi.org/10.25046/aj030405,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2018_direct-torque-control-of-multiphase-doubly-converter-fed-asynchronous-machines-incorporating-the-harmonic-torques.pdf,existing_pdf_url:ok,related
A Neural-Network-Based Model Predictive Control of Three-Phase Inverter With an Output $LC$ Filter,2019,https://doi.org/10.1109/access.2019.2938220,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2019_a-neural-network-based-model-predictive-control-of-three-phase-inverter-with-an-output-lc-filter.pdf,existing_pdf_url:ok,related
"A Non-Regular Icosahedron Geometry Satellite Form, Mirror Invested Polyhedro Heliotrope, For Optical Tracking",2019,https://doi.org/10.33140/atcp.02.02.04,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
A Novel Deep Learning Method for Intelligent Fault Diagnosis of Rotating Machinery Based on Improved CNN-SVM and Multichannel Data Fusion,2019,https://doi.org/10.3390/s19071693,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2019_a-novel-deep-learning-method-for-intelligent-fault-diagnosis-of-rotating-machinery-based-on-improved-cnn-svm-and-multich.pdf,existing_pdf_url:ok,related
Localization and Clustering Based on Swarm Intelligence in UAV Networks for Emergency Communications,2019,https://doi.org/10.1109/jiot.2019.2925567,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
"A wind turbine sensorless automatic control systems, analysis, modelling and development of IDA-PBC method",2020,https://doi.org/10.11591/ijpeds.v11.i1.pp45-55,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2020_a-wind-turbine-sensorless-automatic-control-systems-analysis-modelling-and-development-of-ida-pbc-method.pdf,ok,related
Artificial Intelligence Based MPPT Techniques for Solar Power System: A review,2020,https://doi.org/10.35833/mpce.2020.000159,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2020_artificial-intelligence-based-mppt-techniques-for-solar-power-system-a-review.pdf,existing_pdf_url:ok,related
Advancing Neuromorphic Computing With Loihi: A Survey of Results and Outlook,2021,https://doi.org/10.1109/jproc.2021.3067593,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2021_advancing-neuromorphic-computing-with-loihi-a-survey-of-results-and-outlook.pdf,existing_pdf_url:ok:https://ieeexplore.ieee.org/ielx7/5/9420072/09395703.pdf,related
Dynamic State Estimation for Power System Control and Protection,2021,https://doi.org/10.1109/tpwrs.2021.3079395,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2021_dynamic-state-estimation-for-power-system-control-and-protection.pdf,ok,related
Fault Diagnosis and Fault-Tolerant Control of PMSM Drives–State of the Art and Future Challenges,2022,https://doi.org/10.1109/access.2022.3180153,openalex_seed_matches,failed,,exhausted_or_nonpdf,related
"Internet of Things (IoT) Security Intelligence: A Comprehensive Overview, Machine Learning Solutions and Research Directions",2022,https://doi.org/10.1007/s11036-022-01937-3,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Autonomous Drone Electronics Amplified with Pontryagin-Based Optimization,2023,https://doi.org/10.3390/electronics12112541,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2023_autonomous-drone-electronics-amplified-with-pontryagin-based-optimization.pdf,ok:https://www.mdpi.com/2079-9292/12/11/2541/pdf?version=1685944807,related
Blended Regenerative Anti-Lock Braking System and Electronic Wedge Brake Coordinate Control Ensuring Maximal Energy Recovery and Stability of All-Wheel-Motor-Drive Electric Vehicles,2023,https://doi.org/10.4236/jtts.2023.133022,openalex_seed_matches,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2023_blended-regenerative-anti-lock-braking-system-and-electronic-wedge-brake-coordinate-control-ensuring-maximal-energy-reco.pdf,ok,related
Sensorless Saliency-Based Control of Dual Induction Machines Under Dynamic Load Imbalances Using Three Current Sensors,2023,https://doi.org/10.1109/tie.2023.3241394,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Technical and environmental aspects of solar photo-voltaic water pumping systems: a comprehensive survey,2023,https://doi.org/10.2166/ws.2023.165,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
A Finite State Machine Model for Mitigating Mobile Money Social Engineering Attacks,2024,https://doi.org/10.1504/ijcsyse.2027.10068479,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
A Locally Adaptive Algorithm for Multiple Testing with Network Structure,2024,https://doi.org/10.5705/ss.202024.0002,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
A Network Model for a Mobile Learning Environment to Track Students' Progress,2024,https://doi.org/10.1504/ijcsyse.2027.10064743,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Dancing in the Rain: The Effectiveness of Mobile Platform for Learning Ten Qira’at,2024,https://doi.org/10.6007/ijarbss/v14-i5/21493,crossref_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2024_dancing-in-the-rain-the-effectiveness-of-mobile-platform-for-learning-ten-qira-at.pdf,ok,related
Dual Mode PID Controller for Path Planning of Encoder Less Mobile Robots in Warehouse Environment,2024,https://doi.org/10.1109/access.2024.3363898,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
New Opportunities in Real-Time Diagnostics of Induction Machines,2024,https://doi.org/10.3390/en17133265,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2024_new-opportunities-in-real-time-diagnostics-of-induction-machines.pdf,ok:https://www.mdpi.com/1996-1073/17/13/3265/pdf?version=1719997317,related
Proceedings of the XVII International Scientific and Practical Conference,2024,https://doi.org/10.46299/isg.2024.1.17,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2024_proceedings-of-the-xvii-international-scientific-and-practical-conference.pdf,ok:https://isg-konf.com/wp-content/uploads/2024/04/THE-LATEST-TECHNOLOGIES-IN-THE-DEVELOPMENT-OF-SCIENCE-BUSINESS-AND-EDUCATION.pdf,related
Review. Japan’s search for a foreign policy path between China and the US,2024,https://doi.org/10.52056/9788833138282/23,crossref_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2024_review-japan-s-search-for-a-foreign-policy-path-between-china-and-the-us.pdf,ok,related
Untangling the puzzle: how central bank interventions drive currency hyperinflation and hamper SMEs,2024,https://doi.org/10.1504/ijbem.2027.10064406,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
We Cannot Cede Control of Weapons to Artificial Intelligence,2024,https://doi.org/10.1038/scientificamerican072077-axs4kzsdvehyqhomb7gkv,crossref_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2024_we-cannot-cede-control-of-weapons-to-artificial-intelligence.pdf,ok:https://armscontrolcenter.org/wp-content/uploads/2023/11/Autonomous-Weapons-Fact-Sheet.pdf,related
