seed_title,seed_year,openalex_id,matched_title,matched_year,venue,cited_by_count
HIGH-PERFORMANCE DRIVES EMPLOYING SMART SENSOR BEARINGS,2000,https://openalex.org/W2000304567,Advanced monitoring of machining operations,2010,CIRP Annals,1294
High-Performance Drives Employing Smart SKF Sensor Bearings,2000,https://openalex.org/W2939053413,A Novel Deep Learning Method for Intelligent Fault Diagnosis of Rotating Machinery Based on Improved CNN-SVM and Multichannel Data Fusion,2019,Sensors,246
IMPLEMENTATION OF SENSORLESS INDUCTION AND PERMANENT MAGNET SYNCHRONOUS MOTOR DRIVES USING NATURAL FIELD ORIENTATION,2001,https://openalex.org/W1996529430,Sensorless induction motor and permanent magnet synchronous motor drives using natural field orientation,2002,COMPEL The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,7
"SENSORLESS DRIVES, STATE-OF-THE-ART KEY-NOTE Paper IM",2001,https://openalex.org/W4285271556,Fault Diagnosis and Fault-Tolerant Control of PMSM Drives–State of the Art and Future Challenges,2022,IEEE Access,249
Recent Developments in Sensorless and Quasi-Sensorless Drive,2002,https://openalex.org/W2084523297,Recent developments in sensorless and quasi‐sensorless drive,2002,COMPEL The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,4
SENSORLESS DRIVES – FROM THE STATE-OF-THE-ART TO FUTURE TRENDS,2002,https://openalex.org/W2149550287,Elimination of position sensors in switched reluctance motor drives: state of the art and future trends,2002,IEEE Transactions on Industrial Electronics,187
Sensorless induction motor and permanent magnet synchronous motor drives using natural field orientation,2002,https://openalex.org/W1996529430,Sensorless induction motor and permanent magnet synchronous motor drives using natural field orientation,2002,COMPEL The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,7
DSP-BASED SENSORLESS AND QUASI-SENSORLESS DRIVES FOR ROTATING AND LINEAR MOTORS,2003,https://openalex.org/W2151177243,Position and Speed Control of Brushless DC Motors Using Sensorless Techniques and Application Trends,2010,Sensors,296
Quasi and Fully Sensorless Speed Control of Indirect RFOC Induction Motor Drives for Low Speed Operation,2004,https://openalex.org/W2886993004,Direct Torque Control of Multiphase Doubly Converter-fed Asynchronous Machines Incorporating the Harmonic Torques,2018,Advances in Science Technology and Engineering Systems Journal,0
Fuzzy Logic-Like PI Controller-Based Duty Cycle Control of AC/DC Space Vector Modulation (SVM) Converter Driven DC Motor,2010,https://openalex.org/W3106690674,Artificial Intelligence Based MPPT Techniques for Solar Power System: A review,2020,Journal of Modern Power Systems and Clean Energy,321
Novel ANN Based-Sensorless Speed Estimation of DC Motor Control (Mechatronics Approach),2010,https://openalex.org/W2970115434,A Neural-Network-Based Model Predictive Control of Three-Phase Inverter With an Output $LC$ Filter,2019,IEEE Access,215
Speed sensorless control of DFIG based MRAS observer,2010,https://openalex.org/W2990125944,"A wind turbine sensorless automatic control systems, analysis, modelling and development of IDA-PBC method",2020,International Journal of Power Electronics and Drive Systems/International Journal of Electrical and Computer Engineering,14
Mobile robot-based motion control and intelligent collision avoidance,2011,https://openalex.org/W2134473457,Fuzzy logic based collision avoidance for a mobile robot,1994,Robotica,51
Performance Enhancement Based-Adaptive Sliding Mode Assisted –Recursive Maximum Likelihood Estimator for Sensorless Control of Linear Motion Control System,2011,https://openalex.org/W3161460082,Dynamic State Estimation for Power System Control and Protection,2021,IEEE Transactions on Power Systems,143
Real time control of multi-agent mobile robots with intelligent collision avoidance system,2013,https://openalex.org/W1509916880,Real time control of multi-agent mobile robots with intelligent collision avoidance system,2013,Science and Information Conference,6
Intelligent collision avoidance for multi agent mobile robots,2014,https://openalex.org/W104294157,Intelligent Collision Avoidance for Multi Agent Mobile Robots,2014,Studies in computational intelligence,3
A novel control-navigation system-based adaptive optimal controller EKF localization of DDMR,2015,https://openalex.org/W2263973625,A Novel Control-Navigation System- Based Adaptive Optimal Controller &amp; EKF Localization of DDMR,2015,INTERNATIONAL JOURNAL OF ADVANCED RESEARCH IN ARTIFICIAL INTELLIGENCE,6
Integral LQR-Based 6DoF Autonomous Quadrocopter Balancing System Control,2015,https://openalex.org/W2259209993,Integral Lqr-Based 6dof Autonomous Quadrocopter Balancing System Control,2015,INTERNATIONAL JOURNAL OF ADVANCED RESEARCH IN ARTIFICIAL INTELLIGENCE,12
Design and implementation of auto car driving system with collision avoidance,2018,https://openalex.org/W2810105165,Design and implementation of auto car driving system with collision avoidance,2018,Cogent Engineering,5
Trajectory tracking control of a quadcopter UAV using nonlinear control,2018,https://openalex.org/W2810451972,Trajectory Tracking Control of a Quadcopter UAV Using Nonlinear Control,2018,Mechanisms and machine science,20
UKF-based enhancement and ROS implementation of 4-WDDMR localization with advanced control system,2018,https://openalex.org/W2808781232,UKF-based enhancement and ROS implementation of 4-WDDMR localization with advanced control system,2018,Cogent Engineering,2
Using the Bees Algorithm for wheeled mobile robot path planning in an indoor dynamic environment,2018,https://openalex.org/W2782950943,Using the Bees Algorithm for wheeled mobile robot path planning in an indoor dynamic environment,2018,Cogent Engineering,30
A HIGH PERFORMANCE ROBUST HARD DISK DRIVE CONTROLLER USING PARAMETER-DEPENDENT LYAPUNOV FUNCTION APPROACH,2019,https://openalex.org/W3139657805,Advancing Neuromorphic Computing With Loihi: A Survey of Results and Outlook,2021,Proceedings of the IEEE,593
Adaptive LQ-based computed-torque controller for robotic manipulator,2019,https://openalex.org/W2921601028,Adaptive LQ-Based Computed-Torque Controller for Robotic Manipulator,2019,,10
LQR-BASED CONTROL OF A SINGLE MOTOR ELECTRONIC WEDGE BRAKE EWB FOR AUTOMOTIVE BRAKE–BY–WIRE SYSTEM,2019,https://openalex.org/W4385438392,Blended Regenerative Anti-Lock Braking System and Electronic Wedge Brake Coordinate Control Ensuring Maximal Energy Recovery and Stability of All-Wheel-Motor-Drive Electric Vehicles,2023,Journal of Transportation Technologies,10
